Station ID Lat Lon 5th 50th 95th
"Galveston,Pier 21" 161 29.400000 265.119995 22.152090 32.845013 43.537933
"Rorvik" 1241 64.870003 11.250000 -0.782862 12.864995 26.512852
"Tregde" 302 58.000000 7.570000 9.494602 23.797939 38.101276
"Vardo" 524 70.330002 31.100000 3.960447 18.206953 32.453461
"Goteborg-Torsh." 1236 57.700001 11.850000 2.001209 16.914286 31.827360
"Brest" 1 48.380001 355.399994 19.911407 28.829414 37.747417
"Ny-Alesund" 1421 78.930000 11.950000 -32.269779 -11.140970 9.987838
"Marseille" 61 43.380001 5.380000 19.370590 26.757530 34.144466
"Cuxhaven" 7 53.869999 8.720000 14.012625 31.145731 48.278839
"Stockholm" 78 59.400002 18.219999 -6.911415 9.250530 25.412476
"La Coruna" 484 43.369999 351.600006 19.127312 28.705847 38.284382
"Malin Head" 916 55.369999 352.670013 10.725435 23.681194 36.636955
"Gedser" 120 54.570000 11.930000 10.362446 27.359098 44.355751
"Hornbaek" 119 56.099998 12.470000 8.391982 23.607748 38.823517
