UHAWAII_ID	PSMSL_ID	Site	Basin	Lat	Lon	Region	GPD_Record_Start	GPD_Record_End	Annual_Trend	Trend_Start	Trend_End	Lambda	Q99	Shape50	Shape5	Shape95	Scale50	Scale5	Scale95	Vshape	Vscale	Vscaleshape
076a	996	Taranaki	pacific	-39.05	174.03	New Zealand	1955	2016	1.363211703	1955	2016	1.854797757	0.68458419	0.222639013	0.075085701	0.370192324	0.094307408	0.072494708	0.116120108	0.005667633	0.000123858	-0.000311273
080a	510	Antofagasta	pacific	-23.68	-70.45	Chile	1945	2016	-0.872264903	1945	2016	1.472222222	0.341412011	-0.044885433	-0.247938245	0.158167378	0.056445084	0.040757161	0.072133007	0.010733017	6.41E-05	-0.000628071
081a	499	Valparaiso	pacific	-33.12	-71.72	Chile	1944	2016	-1.204938828	1944	2016	1.808168317	0.39773866	-0.156201769	-0.290736042	-0.021667497	0.058126952	0.045604626	0.070649278	0.004711614	4.08E-05	-0.000331826
082a	1302	Acajutla-A	pacific	13.58	-89.83	El Salvador	1962	2001	2.872016927	1962	2001	1.5	0.481264379	-0.223816559	-0.512546523	0.064913405	0.072775043	0.045160766	0.10038932	0.021701389	0.000198505	-0.00178915
084a	1552	Lobos de Afuera	pacific	-6.93	-80.72	Peru	1982	2016	-0.242541777	1982	2016	1.057122184	0.415180598	-0.426086438	-0.735338833	-0.116834042	0.129765715	0.074612937	0.184918493	0.024896022	0.000791842	-0.00409146
085a	456	Buenaventura	pacific	3.95	-77.17	Colombia	1953	2014	2.269121389	1953	2014	2.016173548	0.837633123	-0.087375611	-0.222002999	0.047251776	0.083164234	0.064834632	0.101493835	0.004718138	8.75E-05	-0.00044528
087a	844	Quepos-A	pacific	9.4	-84.17	Costa Rica	1961	1994	0.406358017	1961	1994	1.705951039	0.568170062	-0.499049802	-0.770124123	-0.227975482	0.117243993	0.07607631	0.158411676	0.019128485	0.000441181	-0.00275199
091a	544	La Libertad	pacific	-2.2	-80.92	Ecuador	1949	2015	5.616081532	1949	2015	1.537360549	0.531957738	-0.18991941	-0.365244476	-0.014594344	0.096198138	0.071363888	0.121032389	0.008001876	0.000160548	-0.000913338
093b	1274	Callao-B	pacific	-12.08	-77.17	Peru	1970	2015	-0.400426738	1970	2015	0.717412654	0.342110535	0.003390923	-0.403133931	0.409915778	0.062225755	0.029226251	0.095225258	0.043020755	0.000283478	-0.00266855
103c	477	Port Louis-C	indian	-20.2	57.6	Mauritius	1986	2015	3.797482211	1986	2015	1.333394177	0.283849867	-0.3644876	-0.65854117	-0.07043403	0.075236723	0.044246961	0.106226486	0.022509027	0.00025	-0.002131358
105a	1672	Rodrigues	indian	-19.68	63.43	Mauritius	1986	2015	5.549539529	1986	2015	1.400063886	0.439089864	0.105556398	-0.212442976	0.423555772	0.081403008	0.045788504	0.117017512	0.026324271	0.000330185	-0.001915878
140a	1591	Kelang	indian	3.05	101.43	Malaysia	1983	2015	2.578463355	1983	2015	1.848523189	0.946385449	-0.292951899	-0.540269285	-0.045634514	0.138050168	0.090485328	0.185615007	0.015922568	0.000588947	-0.002667119
141a	1593	Keling	indian	2.35	102.18	Malaysia	1984	2015	2.591035654	1984	2015	1.625	0.496176699	-0.205103375	-0.478583581	0.068376831	0.07242455	0.04481315	0.100035949	0.019469537	0.000198464	-0.001636334
142a	1676	Langkawi	indian	6.9	99.8	Malaysia	1985	2015	3.116748768	1985	2015	1.967872284	0.669848209	-0.21345239	-0.430206122	0.003301342	0.074223436	0.049949465	0.098497407	0.012230297	0.000153386	-0.001111854
143a	1594	Lumut	indian	4.3	100.73	Malaysia	1984	2015	2.879435484	1984	2015	1.625	0.576001246	-0.282588688	-0.49042854	-0.074748836	0.096733066	0.064479932	0.1289862	0.011245052	0.000270799	-0.001466205
144a	1595	Penang	indian	5.47	100.47	Malaysia	1984	2015	3.517908788	1984	2015	1.9375	0.579954281	-0.042631495	-0.264855581	0.17959259	0.050831223	0.033898799	0.067763646	0.012855414	7.46E-05	-0.000686149
151a	1600	Zanzibar	indian	-6.2	39.25	Tanzania	1984	2015	0.274563791	1984	2015	2.09375	0.896154679	-0.432732797	-0.627159039	-0.238306555	0.099234304	0.070377649	0.12809096	0.009840419	0.000216768	-0.001345113
166a	1159	Broome	indian	-18.02	122.23	Australia	1986	2016	5.870438337	1986	2016	2.032213194	1.903815812	-0.29771916	-0.53431509	-0.061123231	0.182134725	0.121306942	0.242962509	0.014571973	0.000963181	-0.003258628
168a	935	Darwin	indian	-12.52	130.97	Australia	1984	2016	5.369134897	1984	2016	2.121080139	1.271399427	-0.094591278	-0.342520014	0.153337458	0.094186597	0.062139264	0.12623393	0.016001384	0.000267355	-0.001621847
171a	983	Cocos	indian	-12.12	96.97	Australia	1985	2016	6.54234595	1985	2016	1.3125	0.384505821	-0.278187625	-0.535027401	-0.02134785	0.067469573	0.041324072	0.093615075	0.017172297	0.00017795	-0.001481785
175a	111	Fremantle	indian	-32.05	115.73	Australia	1984	2015	5.164919355	1984	2015	2.28125	0.475395773	-0.132789607	-0.307570066	0.041990852	0.103659709	0.07394107	0.133378347	0.007952242	0.000229912	-0.000987677
176a	1114	Esperance	indian	-33.9	122.02	Australia	1985	2016	3.40153737	1985	2016	2	0.485970211	-0.457536024	-0.706443657	-0.208628391	0.152638302	0.102140961	0.203135642	0.01612799	0.000663805	-0.003055848
184a	820	Port Elizabeth	indian	-34.05	25.75	South Africa	1978	2016	1.862279948	1978	2016	2.179448929	0.515192192	-0.215831652	-0.391689459	-0.039973846	0.110025355	0.080099305	0.139951405	0.008050579	0.000233132	-0.001104865
207a	498	Ceuta	atlantic	35.9	-5.32	Spain	1944	2013	0.629893872	1944	2013	1.71425219	0.2957805	-0.136149897	-0.289966446	0.017666652	0.063857244	0.048882513	0.078831975	0.006158996	5.84E-05	-0.000455655
208a	483	Vigo	atlantic	42.23	-8.73	Spain	1943	1990	2.468899262	1943	1990	2	0.811774784	0.028647204	-0.196829608	0.254124016	0.0918532	0.064181032	0.119525368	0.013234502	0.000199338	-0.001187033
209a	52	Cascais	atlantic	38.77	-9.42	Portugal	1959	2005	0.484373978	1959	2005	1.787208015	0.68233201	-0.25664208	-0.474517179	-0.038766982	0.121789804	0.085222313	0.158357294	0.01235717	0.000348092	-0.00178147
218b	1030	Funchal-B	atlantic	32.73	-17.03	Portugal	1982	2013	2.68712518	1982	2013	1.90625	0.504509793	-0.409569943	-0.648606369	-0.170533517	0.080626224	0.053935088	0.10731736	0.014874144	0.000185455	-0.001521801
221a	826	Simon's Town	atlantic	-34.18	18.43	South Africa	1959	1999	2.160402481	1959	1999	2.02442404	0.455855365	-0.112749809	-0.312362723	0.086863104	0.065624174	0.046445716	0.084802633	0.010372444	9.57E-05	-0.000759305
240a	112	Fernandina Beach	atlantic	30.72	-81.47	USA	1981	2016	2.304048831	1981	2016	2.111111111	0.499722985	0.112550501	-0.102280327	0.32738133	0.068375517	0.047195743	0.089555292	0.01201426	0.000116774	-0.0007084
242a	188	"Key West,FL"	atlantic	24.58	-81.88	USA	1913	2016	2.444310137	1913	2016	1.538461538	0.263091685	0.17826619	0.008390112	0.348142268	0.045657082	0.035247864	0.056066299	0.007512219	2.82E-05	-0.000282673
245a	1001	"San Juan,PR"	atlantic	18.55	-66.12	USA	1977	2016	2.408872859	1977	2016	1.575	0.204317775	0.279442669	0.016970556	0.541914782	0.02935342	0.018999132	0.039707707	0.01793371	2.79E-05	-0.00035873
246a	759	"Magueyes Island,PR"	atlantic	18.02	-67.17	USA	1954	2016	1.840788587	1954	2016	1.650775716	0.143417931	0.35141843	0.118493978	0.584342883	0.022671893	0.016028248	0.029315538	0.014123228	1.15E-05	-0.000215576
252a	183	"Portland,ME"	atlantic	43.72	-70.37	USA	1910	2016	1.829590164	1910	2016	2.383162325	0.609390582	-0.038726841	-0.162247701	0.08479402	0.108263488	0.089423218	0.127103759	0.003971773	9.24E-05	-0.000445697
253a	351	"Newport,RI"	atlantic	41.55	-71.42	USA	1930	2016	2.717551837	1930	2016	2.666645687	0.464154706	0.041535339	-0.090631873	0.173702552	0.110862106	0.090425481	0.13129873	0.004547276	0.000108723	-0.000483339
254a	1447	Limetree Bay	atlantic	17.82	-64.78	USA	1982	2016	3.078298874	1982	2016	1.82853567	0.152412207	0.588552044	0.187631768	0.98947232	0.019224335	0.010674824	0.027773846	0.041842715	1.90E-05	-0.000520273
255a	1393	Charlotte Amalie	atlantic	18.35	-64.95	USA	1978	2016	2.182398708	1978	2016	1.948683749	0.163049943	0.375270401	0.107636599	0.642904204	0.025372668	0.016796075	0.033949261	0.018646003	1.91E-05	-0.000299602
259b	368	Bermuda-B	atlantic	32.43	-64.73	United Kingdom	1985	2016	2.248014736	1985	2016	1.40625	0.340770222	-0.175415201	-0.476971758	0.126141356	0.084048185	0.049038487	0.119057883	0.02367235	0.000319066	-0.002259013
260a	1636	"Duck Pier,NC"	atlantic	36.18	-75.87	USA	1978	2016	4.659481344	1978	2016	2.282011232	0.520059149	-0.075647111	-0.250934739	0.099640516	0.13667554	0.099591445	0.173759635	0.007998459	0.000357997	-0.001200472
261b	234	"Charleston,SC-B"	atlantic	32.92	-80	USA	1921	2016	3.265691489	1921	2016	2.135416667	0.474798451	0.21928028	0.06433046	0.3742301	0.070392123	0.055999348	0.084784898	0.006250086	5.39E-05	-0.000347963
264a	180	"Atlantic City,NJ"	atlantic	39.4	-74.43	USA	1911	2016	4.087900274	1911	2016	2.556570757	0.528403153	0.047685708	-0.073903499	0.169274915	0.118377027	0.098247547	0.138506507	0.003848521	0.00010548	-0.000433668
265a	572	Cartagena	atlantic	10.38	-75.53	Colombia	1951	1993	5.323407658	1951	1993	1.441837514	0.173466215	-0.127038115	-0.331353085	0.077276855	0.033478492	0.022780792	0.044176192	0.010866863	2.98E-05	-0.000422865
266a	169	Cristobal	atlantic	9.4	-80.05	Panama	1907	2014	1.478210659	1907	2014	1.490740741	0.206631648	-0.056697801	-0.22240092	0.109005319	0.031741263	0.024578724	0.038903802	0.007147681	1.34E-05	-0.00023672
274a	447	Churchill	atlantic	58.77	-94.18	Canada	1961	2016	-10.38254422	1961	2016	2.125	0.810588249	-0.033251093	-0.232215695	0.16571351	0.16234776	0.118840782	0.205854738	0.010305177	0.000492744	-0.001716706
275a	96	Halifax	atlantic	44.67	-63.58	Canada	1899	2014	3.164928284	1899	2014	2.629372404	0.484169944	0.067723399	-0.065598592	0.201045391	0.097395438	0.080443452	0.114347423	0.004627084	7.48E-05	-0.000427441
276a	393	St. John's-A	atlantic	47.57	-52.7	Canada	1952	1989	2.179844546	1952	1989	2.420965418	0.515967983	-0.074082274	-0.279273742	0.131109193	0.107114885	0.07614703	0.13808274	0.010960299	0.000249647	-0.001253574
279a	519	"Montauk,NY"	atlantic	41.18	-72.05	USA	1947	2016	3.178161861	1947	2016	2.842801549	0.428984999	0.078945433	-0.062938689	0.220829555	0.148904957	0.11938368	0.178426234	0.005240484	0.000226868	-0.000716516
280a	1032	"Ilha Fiscal,RJ"	atlantic	-23.02	-43.3	Brazil	1963	2013	2.225381687	1963	2013	2.039188319	0.531138815	-0.0153997	-0.1416338	0.1108344	0.101647185	0.078284856	0.125009514	0.004148176	0.000142081	-0.000436266
281a	726	Cananeia-A	atlantic	-25.02	-48	Brazil	1954	2006	4.229787416	1954	2006	2.792488893	0.586889476	0.140979217	0.010834751	0.271123683	0.087984647	0.069877349	0.106091944	0.004409154	8.54E-05	-0.000292264
285a	157	Buenos Aires	atlantic	-34.67	-58.5	Argentina	1905	1961	1.373152709	1905	1961	2.929859744	1.286933783	0.125976988	-0.040753084	0.292707059	0.205430539	0.15929737	0.251563708	0.007236552	0.000554026	-0.001312049
289a	490	Gibraltar-A	atlantic	36.13	-5.35	United Kingdom	1961	1992	-0.266280259	1961	1992	1.71875	0.313145961	-0.051980152	-0.355023136	0.251062833	0.045176317	0.027049397	0.063303237	0.023906296	8.55E-05	-0.001118863
293a	830	Lerwick	atlantic	60.2	-1.2	United Kingdom	1959	2016	0.216629301	1959	2016	1.930988907	0.550555619	-0.210379718	-0.390968618	-0.029790818	0.123983517	0.092285121	0.155681913	0.008489575	0.000261564	-0.001236334
294a	202	"Newlyn, Cornwall"	atlantic	50.12	-5.62	United Kingdom	1915	2016	1.859659354	1915	2016	2.078403479	0.965447718	-0.285423859	-0.391391897	-0.179455821	0.138286543	0.115201204	0.161371882	0.002923167	0.000138732	-0.000537418
295a	314	Stornoway	atlantic	58.28	-6.43	United Kingdom	1976	2016	2.608101561	1976	2016	1.975510817	1.037120286	-0.419670587	-0.672977371	-0.166363803	0.211432885	0.143500728	0.279365042	0.016703115	0.001201309	-0.004167654
302a	163	Balboa	pacific	9.1	-79.63	Panama	1907	2016	1.399345509	1907	2016	1.845431579	0.983622881	-0.075036346	-0.162420838	0.012348146	0.109539749	0.091728254	0.127351245	0.001987799	8.26E-05	-0.000255154
303a	639	Tumaco	pacific	1.82	-78.85	Colombia	1951	2014	-1.09325856	1951	2014	1.9375	0.694367827	-0.062948766	-0.214845437	0.088947904	0.069209176	0.053145956	0.085272396	0.006006207	6.72E-05	-0.00044847
